time stamp,accel x,accel y,accel z,pitch,roll,yaw
0,0.72025,-0.3065,0.69025,-0.2016097,0.4007756,-0.3115786
0.01666667,0.7015001,-0.30175,0.7072501,-0.05009696,0.1955003,-0.3005817
0.03333334,0.71575,-0.297,0.71125,0.001221877,0.0953064,-0.2492629
0.05,0.71375,-0.283,0.715,-0.1001939,0.1661753,-0.248041
0.06666667,0.71375,-0.283,0.715,-0.1001939,0.1661753,-0.248041
0.08333334,0.71375,-0.283,0.715,-0.1001939,0.1661753,-0.248041
0.1,0.69675,-0.2145,0.7565001,-0.3555662,0.3311287,-0.337238
0.1166667,0.68325,-0.212,0.75125,-0.3995537,0.1612878,-0.3030255
0.1333333,0.65,-0.20925,0.7245001,-0.6097166,0.1478471,-0.3103567
0.15,0.62475,-0.228,0.719,-0.784445,0.2101628,-0.4435413
0.1666667,0.63725,-0.24,0.717,-0.8577576,0.2309347,-0.5571759
0.1833333,0.63725,-0.24,0.717,-0.8577576,0.2309347,-0.5571759
0.2,0.63725,-0.24,0.717,-0.8577576,0.2309347,-0.5571759
0.2166667,0.64275,-0.23925,0.723,-0.913964,0.09286265,-0.5669509
0.2333333,0.57875,-0.229,0.69925,-1.33429,-0.1466252,-0.6488166
0.25,0.57875,-0.229,0.69925,-1.33429,-0.1466252,-0.6488166
0.2666667,0.5527501,-0.25275,0.6655,-1.457699,-0.1111908,-0.7209074
0.2833334,0.525,-0.30025,0.63625,-1.535899,0.05009696,-0.9652828
0.3,0.47875,-0.36525,0.6505001,-1.153452,-0.2052753,-1.246315
0.3166667,0.47875,-0.36525,0.6505001,-1.153452,-0.2052753,-1.246315
0.3333334,0.36975,-0.53425,0.69675,-0.873642,-0.645151,-1.192552
0.3500001,0.32675,-0.668,0.74575,-0.6463729,-0.8760858,-1.227986
0.3666668,0.33825,-0.7697501,0.811,-0.337238,-1.02882,-1.468696
0.3833334,0.48575,-0.9765,0.9515001,0.4301007,-0.1698409,-2.580604
0.4000001,0.48575,-0.9765,0.9515001,0.4301007,-0.1698409,-2.580604
0.4166668,0.48575,-0.9765,0.9515001,0.4301007,-0.1698409,-2.580604
0.4333335,0.48575,-0.9765,0.9515001,0.4301007,-0.1698409,-2.580604
0.4500002,0.48575,-0.9765,0.9515001,0.4301007,-0.1698409,-2.580604
0.4666668,0.48575,-0.9765,0.9515001,0.4301007,-0.1698409,-2.580604
0.4833335,2.52775,-3.45325,0.148,0.854092,1.098467,-0.3140224
0.5000002,2.91475,-3.75225,0.08050001,1.419821,2.228703,0.6891386
0.5166668,3.29475,-3.383,-0.8875,2.628257,2.264138,2.000213
0.5333335,3.29475,-3.383,-0.8875,2.628257,2.264138,2.000213
0.5500001,3.29475,-3.383,-0.8875,2.628257,2.264138,2.000213
0.5666668,3.6675,-2.93525,-1.661,1.158339,3.218424,3.754828
0.5833334,4.35725,-2.16325,-2.57725,-0.4545382,3.104789,5.884559
0.6000001,4.47625,-0.14925,-3.15425,4.14705,3.633862,6.214466
0.6166667,4.47625,-0.14925,-3.15425,4.14705,3.633862,6.214466
0.6333334,3.801,1.37375,-2.3305,7.044121,5.152655,2.949611
0.65,3.37,4.1315,-1.65175,9.242277,7.179749,0.7673387
0.6666667,3.79525,5.54275,-0.7287501,5.059793,10.77818,1.241427
0.6833333,3.79525,5.54275,-0.7287501,5.059793,10.77818,1.241427
0.7,4.64975,6.944,0.05225,0.8589795,11.05799,1.331846
0.7166666,-0.0485,5.5695,-0.53975,-8.344197,-0.9970516,10.96146
0.7333333,-1.3755,4.859,-0.41125,-8.12426,-1.935453,10.41772
0.7499999,-1.3755,4.859,-0.41125,-8.12426,-1.935453,10.41772
0.7666666,-1.99175,3.41,-0.37625,-2.854305,1.998991,7.504768
0.7833332,-1.99175,3.41,-0.37625,-2.854305,1.998991,7.504768
0.7999999,-1.99175,3.41,-0.37625,-2.854305,1.998991,7.504768
0.8166665,-2.26425,2.63975,-0.25275,-2.476745,2.534173,7.474221
0.8333332,-2.26425,2.63975,-0.25275,-2.476745,2.534173,7.474221
0.8499998,-1.84525,1.247,0.37625,-0.0317688,-1.763168,3.842803
0.8666665,-1.84525,1.247,0.37625,-0.0317688,-1.763168,3.842803
0.8833331,-1.513,1.235,0.666,1.201105,-1.402715,2.835976
0.8999998,-0.8185,0.99475,1.004,1.137567,-1.825484,1.724068
0.9166664,-0.8185,0.99475,1.004,1.137567,-1.825484,1.724068
0.9333331,-0.8185,0.99475,1.004,1.137567,-1.825484,1.724068
0.9499997,-0.8185,0.99475,1.004,1.137567,-1.825484,1.724068
0.9666664,-0.8185,0.99475,1.004,1.137567,-1.825484,1.724068
0.9833331,-0.8185,0.99475,1.004,1.137567,-1.825484,1.724068
0.9999997,-0.8185,0.99475,1.004,1.137567,-1.825484,1.724068
1.016666,-0.27725,0.8465,0.98825,0.3555662,-1.499243,1.480915
1.033333,-0.26625,0.509,1.094,0.9921641,-1.578665,0.07453449
1.05,0.08575001,0.47875,1.1785,0.1527346,-1.34773,-0.6830292
1.066666,0.226,0.3695,1.2305,-0.2590379,-2.157835,-0.7734481
1.083333,0.2285,0.2745,1.24225,-0.4533163,-2.099185,-0.9738359
1.1,0.277,0.213,1.213,-0.7722262,-2.140728,-1.174224
1.116666,0.31975,0.19225,1.17975,-1.208436,-2.264138,-1.46503
1.133333,0.359,0.1715,1.15375,-1.578665,-2.232369,-1.80349
1.15,0.359,0.1715,1.15375,-1.578665,-2.232369,-1.80349
1.166666,0.359,0.1715,1.15375,-1.578665,-2.232369,-1.80349
1.183333,0.4935,0.10625,1.03675,-2.090631,-2.110182,-1.936675
1.2,0.4935,0.10625,1.03675,-2.090631,-2.110182,-1.936675
1.216666,0.4935,0.10625,1.03675,-2.090631,-2.110182,-1.936675
1.233333,0.574,-0.1235,0.8017501,-2.459638,-2.966717,-1.771722
1.25,0.574,-0.1235,0.8017501,-2.459638,-2.966717,-1.771722
1.266666,0.59925,-0.215,0.6705,-3.092571,-1.802269,-2.119956
1.283333,0.671,-0.3505,0.60925,-3.092571,-0.3433474,-2.576938
1.299999,0.6702501,-0.34325,0.6615,-2.754111,-0.0317688,-2.590379
1.316666,0.70375,-0.3825,0.72425,-2.176163,-0.1832815,-2.598932
1.333333,0.7365,-0.42625,0.6990001,-2.233591,-0.2737004,-2.618482
1.349999,0.7365,-0.42625,0.6990001,-2.233591,-0.2737004,-2.618482
1.366666,0.7365,-0.42625,0.6990001,-2.233591,-0.2737004,-2.618482
1.383333,0.7855,-0.386,0.67375,-2.2006,0.2272691,-2.404654
1.399999,0.7772501,-0.40625,0.6705,-1.840147,0.1735065,-2.096741
1.416666,0.7772501,-0.40625,0.6705,-1.840147,0.1735065,-2.096741
1.433333,0.7772501,-0.40625,0.6705,-1.840147,0.1735065,-2.096741
1.449999,0.72475,-0.51925,0.6662501,-1.682525,-0.1001939,-1.67275
1.466666,0.72475,-0.51925,0.6662501,-1.682525,-0.1001939,-1.67275
