time stamp,accel x,accel y,accel z,pitch,roll,yaw
0,0.923,-0.38825,0.164,-0.2908067,0.4239913,-0.4142163
0.01666667,0.923,-0.38825,0.164,-0.2908067,0.4239913,-0.4142163
0.03333334,0.9202501,-0.375,0.1605,-0.1087471,0.01710628,-0.3567881
0.05,0.91225,-0.3835,0.15075,-0.02443754,-0.1319627,-0.3421255
0.06666667,0.9260001,-0.38575,0.14,-0.08675326,-0.06231572,-0.4264351
0.08333334,0.9620001,-0.392,0.1325,-0.2077191,0.1661753,-0.4081069
0.1,0.957,-0.405,0.1505,-0.3690068,0.3592318,-0.3641193
0.1166667,0.957,-0.405,0.1505,-0.3690068,0.3592318,-0.3641193
0.1333333,0.9685,-0.37525,0.15125,-0.39711,0.2346004,-0.2199378
0.15,0.96725,-0.37925,0.116,-0.288363,-0.1454034,-0.1564002
0.1666667,0.96725,-0.37925,0.116,-0.288363,-0.1454034,-0.1564002
0.1833333,0.9407501,-0.38525,0.0625,-0.39711,-0.003665631,-0.228491
0.2,0.9475001,-0.35975,0.066,-0.4630914,0.2174941,-0.1820597
0.2166667,0.94775,-0.35375,0.0815,-0.4056631,0.2871411,-0.1441815
0.2333333,0.9802501,-0.34975,0.08175001,-0.2871411,0.228491,-0.1502909
0.25,0.9625,-0.36225,0.09950001,-0.2908067,0.1160783,-0.04643133
0.2666667,0.9625,-0.36225,0.09950001,-0.2908067,0.1160783,-0.04643133
0.2833334,0.9295,-0.35675,0.09725001,-0.3115786,0.06720323,0.006109385
0.3,0.9087501,-0.3495,0.08525001,-0.2468191,-0.02443754,-0.01466252
0.3166667,0.8885,-0.349,0.07300001,-0.178394,-0.08919702,-0.04032194
0.3333334,0.87375,-0.3455,0.06875,-0.1368502,-0.079422,-0.06842511
0.3500001,0.8800001,-0.344,0.06950001,-0.1649534,0.02321566,-0.1124127
0.3666668,0.87625,-0.31375,0.09425,-0.2199378,0.1417377,-0.1845034
0.3833334,0.8692501,-0.3085,0.10925,-0.168619,0.07209074,-0.2272691
0.4000001,0.8470001,-0.32,0.13275,-0.1515127,0.02565942,-0.2517067
0.4166668,0.8175001,-0.33225,0.15675,-0.2040534,0.01710628,-0.2969161
0.4333335,0.80525,-0.325,0.15875,-0.2908067,-0.002443754,-0.4093288
0.4500002,0.8075001,-0.30675,0.149,-0.4044413,0.01955003,-0.5376258
0.4666668,0.8002501,-0.2855,0.14875,-0.5070789,0.0317688,-0.536404
0.4833335,0.79625,-0.30125,0.15,-0.4875289,-0.2590379,-0.4386538
0.5000002,0.7805001,-0.312,0.13775,-0.466757,-0.4692007,-0.536404
0.5166668,0.7635,-0.314,0.12375,-0.5620634,-0.5669509,-0.6243791
0.5333335,0.7635,-0.314,0.12375,-0.5620634,-0.5669509,-0.6243791
0.5500001,0.7655,-0.3065,0.09975,-0.6928042,-0.764895,-0.5840572
0.5666668,0.7655,-0.3065,0.09975,-0.6928042,-0.764895,-0.5840572
0.5833334,0.7690001,-0.32425,0.08450001,-0.6207135,-0.9506202,-0.5999416
0.6000001,0.7862501,-0.3555,0.02375,-0.5755041,-1.13268,-0.5840572
0.6166667,0.8060001,-0.37425,-0.0545,-0.4239913,-1.457699,-0.4459851
0.6333334,0.7735,-0.3905,-0.08625001,-0.3091349,-1.658087,-0.4520945
0.65,0.768,-0.42625,-0.10275,-0.1955003,-1.824262,-0.4105507
0.6666667,0.8265001,-0.4505,-0.1285,-0.06475948,-1.886578,-0.3616756
0.6833333,0.9162501,-0.4915,-0.163,0.07820012,-1.961112,-0.2773661
0.7,0.9162501,-0.4915,-0.163,0.07820012,-1.961112,-0.2773661
0.7166666,0.9580001,-0.5387501,-0.199,0.248041,-2.193269,-0.1698409
0.7333333,1.033,-0.73725,-0.31125,0.6512604,-2.850639,-0.02321566
0.7499999,1.12525,-1.08075,-0.348,1.871915,-3.768269,0.2492629
0.7666666,1.1025,-1.6385,-0.04825,3.251415,-4.320557,0.05376258
0.7833332,1.11025,-2.61275,0.3065,4.826414,-4.073738,-0.1698409
0.7999999,1.11025,-2.61275,0.3065,4.826414,-4.073738,-0.1698409
0.8166665,1.39925,-4.58,0.646,6.341541,-1.370946,-0.5168539
0.8333332,1.39925,-4.58,0.646,6.341541,-1.370946,-0.5168539
0.8499998,1.7215,-4.976,0.4425,6.0153,-1.662974,0.3152443
0.8666665,2.332,-3.60725,-1.97225,3.165883,-2.097963,2.287354
0.8833331,2.332,-3.60725,-1.97225,3.165883,-2.097963,2.287354
0.8999998,2.332,-3.60725,-1.97225,3.165883,-2.097963,2.287354
0.9166664,2.33725,-2.251,-3.281,1.969666,3.503121,2.16761
0.9333331,2.33725,-2.251,-3.281,1.969666,3.503121,2.16761
0.9499997,3.71225,0.32575,-3.169,3.663187,6.830292,2.078413
0.9666664,4.10775,3.58225,-4.22225,-3.580099,-2.613595,6.010413
0.9833331,4.10775,3.58225,-4.22225,-3.580099,-2.613595,6.010413
0.9999997,2.71875,4.64475,-4.01525,1.302521,-6.221797,6.64701
