time stamp,accel x,accel y,accel z,pitch,roll,yaw
0,0.8987501,-0.486,0.1,-0.06842511,0.0635376,-0.08553138
0.01666667,0.85675,-0.493,0.1345,-0.2064972,0.006109385,-0.07575637
0.03333334,0.84325,-0.47675,0.10675,-0.149069,-0.03787819,-0.1111908
0.05,0.8387501,-0.463,0.09675001,-0.02077191,0.01955003,-0.1246314
0.06666667,0.87625,-0.47175,0.07300001,0.04032194,0.1063033,-0.1539565
0.08333334,0.92125,-0.4855,0.0885,-0.02932505,0.2113847,-0.1502909
0.1,0.92125,-0.4855,0.0885,-0.02932505,0.2113847,-0.1502909
0.1166667,0.9052501,-0.46625,0.14625,-0.1564002,0.1221877,-0.1001939
0.1333333,0.883,-0.4315,0.12025,-0.1148564,-0.08064388,-0.06598136
0.15,0.9145001,-0.469,0.11325,-0.05254071,-0.05376258,0.001221877
0.1666667,0.9395,-0.46625,0.09475,-0.1319627,0.07086886,-0.05498446
0.1833333,0.9395,-0.46625,0.09475,-0.1319627,0.07086886,-0.05498446
0.2,0.9507501,-0.4635,0.08350001,-0.0953064,0.1515127,-0.01955003
0.2166667,0.9507501,-0.4635,0.08350001,-0.0953064,0.1515127,-0.01955003
0.2333333,0.897,-0.47575,0.0965,-0.04887508,0.02565942,-0.1148564
0.25,0.909,-0.48675,0.0905,-0.09775016,0.1625096,-0.06231572
0.2666667,0.9465001,-0.49725,0.10825,-0.1099689,0.3592318,-0.06842511
0.2833334,0.9472501,-0.51225,0.1315,-0.1515127,0.4301007,-0.1221877
0.3,0.9407501,-0.5155,0.14975,-0.1991659,0.4753101,-0.1246314
0.3166667,0.94525,-0.51675,0.15175,-0.1625096,0.4398757,-0.1197439
0.3333334,0.9530001,-0.527,0.14975,-0.1502909,0.3653412,-0.09652828
0.3500001,0.9390001,-0.53825,0.14425,-0.1356283,0.3506787,-0.07209074
0.3666668,0.90175,-0.566,0.13125,-0.09652828,0.4154381,-0.149069
0.3833334,0.881,-0.592,0.17925,-0.1600659,0.7477887,-0.2846973
0.4000001,0.881,-0.592,0.17925,-0.1600659,0.7477887,-0.2846973
0.4166668,0.886,-0.60875,0.22025,-0.1796159,0.7453449,-0.2871411
0.4333335,0.7925,-0.65,0.24075,-0.1527346,0.664701,-0.4533163
0.4500002,0.779,-0.6562501,0.2215,-0.1063033,0.873642,-0.5205196
0.4666668,0.799,-0.71975,0.2445,0.02565942,1.080139,-0.5596197
0.4833335,0.7965,-0.8420001,0.30075,0.1564002,1.204771,-0.6683667
0.5000002,0.7837501,-0.9522501,0.3305,0.168619,1.356283,-0.6989136
0.5166668,0.68625,-1.11175,0.4085,0.4948602,1.786384,-0.9212952
0.5333335,0.659,-1.2025,0.5085,0.8577576,2.488963,-1.201105
0.5500001,0.682,-1.37925,0.51875,1.231652,3.147555,-1.46503
0.5666668,0.682,-1.37925,0.51875,1.231652,3.147555,-1.46503
0.5833334,0.6745,-1.433,0.491,1.589662,3.628974,-1.439371
0.6000001,0.6745,-1.433,0.491,1.589662,3.628974,-1.439371
0.6166667,0.6745,-1.433,0.491,1.589662,3.628974,-1.439371
0.6333334,-0.19625,-1.641,0.956,2.798098,10.86249,-2.442532
0.65,-0.4135,-1.7605,1.18825,2.666136,11.65426,-2.231147
0.6666667,-0.49975,-1.859,1.20475,2.302016,10.8967,-1.720403
0.6833333,-0.598,-1.7915,0.9867501,1.889022,9.696815,-1.017823
0.7,-0.598,-1.7915,0.9867501,1.889022,9.696815,-1.017823
