time stamp,accel x,accel y,accel z,pitch,roll,yaw
0,0.87375,-0.509,0.203,0.09408452,0.1099689,-0.0476532
0.01666667,0.9252501,-0.48575,0.2,-0.04154382,0.2028316,0.01099689
0.03333334,0.9020001,-0.47425,0.21925,-0.05620634,0.1625096,0.007331261
0.05,0.89125,-0.49525,0.219,0.004887508,0.1380721,0.01955003
0.06666667,0.8692501,-0.4935,0.24,-0.09408452,0.1612878,0.03421256
0.08333334,0.8692501,-0.4935,0.24,-0.09408452,0.1612878,0.03421256
0.1,0.851,-0.513,0.231,-0.07575637,0.09897203,-0.007331261
0.1166667,0.8470001,-0.51025,0.21925,-0.09652828,0.08308763,-0.03910006
0.1333333,0.83675,-0.5065,0.20825,-0.08430951,0.07575637,-0.0476532
0.15,0.8437501,-0.5235,0.205,0,0.05376258,-0.04887508
0.1666667,0.8437501,-0.5235,0.205,0,0.05376258,-0.04887508
0.1833333,0.8330001,-0.5470001,0.215,0.03910006,0.08430951,-0.09408452
0.2,0.8372501,-0.52825,0.25225,0.01955003,0.2492629,-0.1160783
0.2166667,0.85325,-0.513,0.25625,0.07697824,0.2614817,-0.1759503
0.2333333,0.85325,-0.513,0.25625,0.07697824,0.2614817,-0.1759503
0.25,0.85325,-0.513,0.25625,0.07697824,0.2614817,-0.1759503
0.2666667,0.8435,-0.56525,0.29575,-0.05865009,0.4142163,-0.2248254
0.2833334,0.83,-0.55525,0.29925,-0.1991659,0.4814195,-0.2077191
0.3,0.802,-0.5355,0.30775,-0.1258533,0.5278509,-0.2016097
0.3166667,0.753,-0.5975,0.32925,-0.006109385,0.4850852,-0.2553723
0.3333334,0.7185,-0.6555001,0.36125,-0.06231572,0.5217414,-0.3616756
0.3500001,0.7185,-0.6555001,0.36125,-0.06231572,0.5217414,-0.3616756
0.3666668,0.71075,-0.6867501,0.35375,-0.3494568,0.7429012,-0.4655351
0.3833334,0.71075,-0.6867501,0.35375,-0.3494568,0.7429012,-0.4655351
0.4000001,0.71075,-0.6867501,0.35375,-0.3494568,0.7429012,-0.4655351
0.4166668,0.675,-0.776,0.361,0.1527346,1.066699,-0.724573
0.4333335,0.61975,-0.9020001,0.431,0.406885,1.35384,-0.953064
0.4500002,0.54275,-1.11525,0.619,0.476532,2.403432,-1.435705
0.4666668,0.54275,-1.11525,0.619,0.476532,2.403432,-1.435705
0.4833335,0.526,-1.16675,0.674,0.6219354,2.866523,-1.642203
0.5000002,0.526,-1.16675,0.674,0.6219354,2.866523,-1.642203
0.5166668,0.423,-1.4265,0.6885,2.095519,3.782931,-1.590884
0.5333335,0.274,-1.5205,0.6765,2.353335,4.555157,-1.746062
0.5500001,0.1175,-1.60175,0.73325,2.313013,5.974978,-2.199378
0.5666668,0.01925,-1.52875,0.9087501,2.047866,7.741812,-2.51951
0.5833334,0.001,-1.438,1.0285,2.718676,9.643053,-2.0442
0.6000001,0.001,-1.438,1.0285,2.718676,9.643053,-2.0442
0.6166667,-0.32675,-1.446,1.1285,3.451802,9.084655,-2.59771
0.6333334,-0.32675,-1.446,1.1285,3.451802,9.084655,-2.59771
0.65,-1.3625,-1.1545,0.90725,3.060802,9.765241,-4.54416
0.6666667,-1.3625,-1.1545,0.90725,3.060802,9.765241,-4.54416
0.6833333,-1.42875,0.23875,-0.28025,2.574495,6.805855,-3.731612
0.7,-1.64725,1.8585,-1.015,3.301512,3.009483,-3.406593
0.7166666,-2.294,4.333,-1.15725,4.158047,-1.615321,-4.364544
0.7333333,-2.533,8.1665,2.1605,2.44131,5.287062,-11.16796
0.7499999,-2.533,8.1665,2.1605,2.44131,5.287062,-11.16796
0.7666666,3.0985,5.50625,2.2125,4.209366,6.226685,-8.422398
0.7833332,5.84975,2.27675,0.28425,5.150211,-5.091561,-4.522167
0.7999999,3.62475,0.942,-0.051,1.447924,-9.195846,5.717162
0.8166665,-3.23375,4.39925,2.63325,-1.616543,-15.48485,9.815337
0.8333332,-3.8505,3.18125,1.808,1.473584,-9.772572,5.767259
0.8499998,-0.63675,2.1895,0.44,-4.635801,-0.6989136,5.731825
0.8666665,-0.63675,2.1895,0.44,-4.635801,-0.6989136,5.731825
0.8833331,0.384,2.4505,0.4505,-2.728451,-4.018753,5.405583
0.8999998,0.56475,2.025,0.445,-0.5168539,-9.388903,6.660451
0.9166664,-0.07975,1.2935,0.306,1.869472,-12.67331,7.282387
0.9333331,-0.07975,1.2935,0.306,1.869472,-12.67331,7.282387
0.9499997,-0.07975,1.2935,0.306,1.869472,-12.67331,7.282387
0.9666664,-0.23675,0.457,0.295,3.322284,-12.08436,7.468112
0.9833331,0.47675,-0.79875,0.8240001,0.9518421,-2.900736,5.532659
0.9999997,0.28925,-1.36525,1.12675,-0.6341541,-2.487741,2.474301
1.016666,0.28925,-1.36525,1.12675,-0.6341541,-2.487741,2.474301
1.033333,0.28925,-1.36525,1.12675,-0.6341541,-2.487741,2.474301
1.05,0.28925,-1.36525,1.12675,-0.6341541,-2.487741,2.474301
1.066666,0.27575,-1.505,1.0295,-0.4899727,-1.937897,1.141233
1.083333,0.39125,-1.54125,1.133,-0.2822536,-1.961112,0.6915823
1.1,0.7927501,-1.10825,1.1525,-1.438149,-0.01099689,-0.04276569
1.116666,0.7825,-0.8890001,0.738,-1.460143,-0.7331262,0.2272691
1.133333,0.7655,-0.8247501,0.4435,-1.207214,-0.9738359,0.1502909
1.15,0.8325,-0.73,0.221,-1.042261,-0.7233511,-0.02688129
1.166666,0.86375,-0.5895,0.1375,-0.9591734,-0.1087471,-0.218716
1.183333,0.86375,-0.5895,0.1375,-0.9591734,-0.1087471,-0.218716
1.2,0.8872501,-0.587,0.12375,-1.019045,0.6231573,0.1026377
1.216666,0.8537501,-0.56575,0.21375,-0.6121603,0.3567881,0.3213536
1.233333,0.72725,-0.6195,0.20975,-0.3433474,-0.2468191,0.2969161
1.25,0.72725,-0.6195,0.20975,-0.3433474,-0.2468191,0.2969161
1.266666,0.72725,-0.6195,0.20975,-0.3433474,-0.2468191,0.2969161
1.283333,0.5965,-0.6515,0.17875,-0.3946663,-0.01221877,0.4154381
1.299999,0.5965,-0.6515,0.17875,-0.3946663,-0.01221877,0.4154381
1.316666,0.5965,-0.6515,0.17875,-0.3946663,-0.01221877,0.4154381
1.333333,0.8235,-0.49075,0.16625,-0.6500385,0.8711982,-0.01466252
1.349999,0.86975,-0.5215001,0.17325,-0.3250193,0.5327383,0.1820597
1.366666,0.79475,-0.53325,0.20675,0.003665631,-0.4618695,0.1869472
1.383333,0.7492501,-0.5735,0.20025,0.004887508,-0.5168539,0.1221877
1.399999,0.7065001,-0.59675,0.21,-0.1515127,-0.2565942,0.008553139
1.416666,0.7065001,-0.59675,0.21,-0.1515127,-0.2565942,0.008553139
1.433333,0.7205001,-0.582,0.216,-0.3115786,0.006109385,-0.06964698
