time stamp,accel x,accel y,accel z,pitch,roll,yaw
0,0.84525,-0.37275,0.4845,-0.02688129,0.05865009,-0.129519
0.01666667,0.84525,-0.37275,0.4845,-0.02688129,0.05865009,-0.129519
0.03333334,0.84525,-0.37275,0.4845,-0.02688129,0.05865009,-0.129519
0.05,0.84525,-0.37275,0.4845,-0.02688129,0.05865009,-0.129519
0.06666667,0.8462501,-0.35575,0.478,-0.003665631,0.02810317,-0.09775016
0.08333334,0.8595001,-0.34375,0.48025,-0.006109385,0.08675326,-0.09897203
0.1,0.8595001,-0.34375,0.48025,-0.006109385,0.08675326,-0.09897203
0.1166667,0.8750001,-0.335,0.48025,-0.001221877,0.1001939,-0.08308763
0.1333333,0.8750001,-0.335,0.48025,-0.001221877,0.1001939,-0.08308763
0.15,0.87475,-0.327,0.487,0.02321566,0.07820012,-0.05620634
0.1666667,0.85675,-0.3325,0.4995,0.1380721,-0.03299068,-0.02810317
0.1833333,0.84475,-0.33775,0.49625,0.1380721,-0.05131883,-0.03054692
0.2,0.8502501,-0.33975,0.497,0.06598136,-0.04154382,-0.02443754
0.2166667,0.8502501,-0.33975,0.497,0.06598136,-0.04154382,-0.02443754
0.2333333,0.808,-0.34175,0.4705,-0.003665631,0.01466252,-0.1221877
0.25,0.8095,-0.339,0.4675,0.02932505,0.05620634,-0.1735065
0.2666667,0.80875,-0.3405,0.464,0.06842511,0.06109385,-0.208941
0.2833334,0.8135,-0.328,0.47675,0.05131883,-0.05009696,-0.168619
0.3,0.8412501,-0.3315,0.49,0.001221877,-0.2455973,-0.1173002
0.3166667,0.81725,-0.318,0.4895,0.01710628,-0.3042473,-0.1771722
0.3333334,0.7785,-0.335,0.48375,0.04398757,-0.2822536,-0.2504848
0.3500001,0.7640001,-0.338,0.4795,0.04154382,-0.2517067,-0.3286849
0.3666668,0.77275,-0.3185,0.479,0.03665631,-0.2064972,-0.4447632
0.3833334,0.77975,-0.30425,0.46425,0.06598136,-0.208941,-0.6121603
0.4000001,0.76925,-0.3095,0.46125,0.08308763,-0.2675911,-0.635376
0.4166668,0.72425,-0.31625,0.45975,0.1087471,-0.3445693,-0.7013574
0.4333335,0.689,-0.31725,0.452,0.158844,-0.4288788,-0.7917762
0.4500002,0.673,-0.30025,0.445,0.2358222,-0.536404,-0.9298484
0.4666668,0.6625,-0.2845,0.43625,0.2871411,-0.635376,-1.06792
0.4833335,0.63175,-0.26425,0.42475,0.3115786,-0.803995,-1.169336
0.5000002,0.54175,-0.197,0.39175,0.208941,-0.9689484,-1.505352
0.5166668,0.51425,-0.172,0.389,0.1380721,-0.923739,-1.675193
0.5333335,0.483,-0.16075,0.34875,0.04887508,-0.8883045,-1.869472
0.5500001,0.4725,-0.136,0.2965,-0.1478471,-0.9518421,-2.073525
0.5666668,0.46325,-0.10175,0.2455,-0.2822536,-1.026377,-2.283688
0.5833334,0.44,-0.0685,0.192,-0.2785879,-1.209658,-2.433979
0.6000001,0.36425,-0.05,0.13675,-0.1906128,-1.691078,-2.619704
0.6166667,0.25475,-0.0515,0.11175,-0.1857253,-2.209153,-2.794433
0.6333334,0.1315,-0.03025,-0.02625,-0.4496507,-2.771217,-3.141446
0.65,0.3075,0.07250001,-0.2395,-0.6402635,-2.887295,-3.468909
0.6666667,0.37525,0.09625001,-0.41725,-0.7416793,-3.204983,-3.881903
0.6833333,0.37525,0.09625001,-0.41725,-0.7416793,-3.204983,-3.881903
0.7,0.233,-0.29725,-0.61675,-0.7038011,-2.85797,-3.939331
0.7166666,0.292,-0.66325,-0.673,-0.7477887,-2.053975,-3.953994
0.7333333,0.86475,-1.0415,-1.12925,-0.7429012,-2.526841,-4.216697
0.7499999,1.289,-1.7525,-2.7395,1.612878,-10.86982,-3.240418
0.7666666,0.96175,-1.87825,-3.81775,2.261694,-9.357134,-2.12851
0.7833332,0.5930001,-1.93725,-4.08775,1.472362,-4.910723,-2.068638
0.7999999,1.06775,-1.4125,-4.22075,1.754615,-0.8626451,-3.412702
