time stamp,accel x,accel y,accel z,pitch,roll,yaw
0,0.8505,-0.31775,0.52,0.02565942,-0.1258533,-0.08186576
0.01666667,0.8512501,-0.30575,0.512,-0.01099689,-0.05498446,-0.07331262
0.03333334,0.8512501,-0.30575,0.512,-0.01099689,-0.05498446,-0.07331262
0.05,0.8592501,-0.2955,0.51275,-0.03054692,-0.05376258,-0.04032194
0.06666667,0.8592501,-0.2955,0.51275,-0.03054692,-0.05376258,-0.04032194
0.08333334,0.8592501,-0.2955,0.51275,-0.03054692,-0.05376258,-0.04032194
0.1,0.8592501,-0.2955,0.51275,-0.03054692,-0.05376258,-0.04032194
0.1166667,0.8232501,-0.31225,0.50425,-0.08308763,-0.139294,-0.02199378
0.1333333,0.859,-0.29475,0.47925,-0.1576221,0.01955003,-0.1368502
0.15,0.8675001,-0.29225,0.481,-0.1612878,0.02810317,-0.1331846
0.1666667,0.8675001,-0.29225,0.481,-0.1612878,0.02810317,-0.1331846
0.1833333,0.8707501,-0.2835,0.4825,-0.1417377,-0.01099689,-0.1344065
0.2,0.868,-0.288,0.48325,-0.09897203,-0.02321566,-0.1148564
0.2166667,0.868,-0.288,0.48325,-0.09897203,-0.02321566,-0.1148564
0.2333333,0.8655,-0.30075,0.4955,-0.1050814,0.01344065,-0.1063033
0.25,0.851,-0.30975,0.4985,-0.09164077,0.04154382,-0.1661753
0.2666667,0.8355001,-0.3125,0.50525,-0.09408452,0.1515127,-0.2052753
0.2833334,0.8355001,-0.3125,0.50525,-0.09408452,0.1515127,-0.2052753
0.3,0.8445001,-0.3045,0.51825,-0.1246314,0.1698409,-0.2236035
0.3166667,0.8372501,-0.30175,0.51425,-0.1527346,0.1319627,-0.2346004
0.3333334,0.8372501,-0.30175,0.51425,-0.1527346,0.1319627,-0.2346004
0.3500001,0.8245,-0.30075,0.508,-0.168619,0.1258533,-0.2504848
0.3666668,0.794,-0.3285,0.5115,-0.1344065,0.1307408,-0.3323505
0.3833334,0.758,-0.33875,0.50525,-0.1502909,0.01221877,-0.4655351
0.4000001,0.7535,-0.3195,0.48775,-0.1845034,-0.02321566,-0.546179
0.4166668,0.77175,-0.28725,0.4555,-0.248041,-0.004887508,-0.6182697
0.4333335,0.76925,-0.2745,0.44325,-0.2993599,0.08797514,-0.6390417
0.4500002,0.748,-0.27425,0.4415,-0.257816,0.06475948,-0.6830292
0.4666668,0.6990001,-0.29,0.4345,-0.1527346,-0.08919702,-0.7856669
0.4833335,0.54075,-0.31425,0.44025,0.1001939,-0.536404,-1.063033
0.5000002,0.4465,-0.31125,0.42925,0.1576221,-0.7380137,-1.290302
0.5166668,0.423,-0.26275,0.375,0.07453449,-0.7881106,-1.589662
0.5333335,0.4945,-0.17575,0.31425,-0.2028316,-0.486307,-1.917125
0.5500001,0.50575,-0.12375,0.288,-0.3751162,-0.1478471,-1.975775
0.5666668,0.48675,-0.10425,0.2485,-0.3922225,-0.2223816,-1.967222
0.5833334,0.383,-0.09125,0.22475,-0.3201317,-0.7306824,-2.082078
0.6000001,0.22325,-0.08275001,0.21025,-0.1832815,-1.480915,-2.332563
0.6166667,-0.074,-0.061,0.15375,-0.1735065,-2.487741,-2.980158
0.6333334,-0.18425,-0.0565,0.07175,-0.4081069,-2.635589,-3.464021
0.65,-0.24175,-0.0265,-0.00875,-0.695248,-2.554945,-3.91245
0.6666667,-0.20575,0.0235,-0.1395,-0.9151858,-2.501182,-4.280235
0.6833333,-0.20575,0.0235,-0.1395,-0.9151858,-2.501182,-4.280235
0.7,0.097,-0.1055,-0.49025,0.1893909,-4.50506,-5.069567
0.7166666,0.107,-0.61975,-0.73625,1.369724,-6.269451,-5.39703
0.7333333,0.39425,-2.08825,-2.10275,1.099689,-8.328313,-5.169761
0.7499999,0.63775,-1.97275,-2.52175,0.4056631,-8.85983,-4.341329
0.7666666,0.63775,-1.97275,-2.52175,0.4056631,-8.85983,-4.341329
0.7833332,0.63775,-1.97275,-2.52175,0.4056631,-8.85983,-4.341329
0.7999999,1.71525,-1.85375,-4.8655,1.721625,-6.038516,-3.103567
0.8166665,1.93,0.43675,-6.58075,5.139215,-6.690998,-1.974553
0.8333332,1.93,0.43675,-6.58075,5.139215,-6.690998,-1.974553
0.8499998,0.7905,1.0605,-6.54275,11.59928,-11.75934,-2.840864
0.8666665,0.7905,1.0605,-6.54275,11.59928,-11.75934,-2.840864
0.8833331,0.7905,1.0605,-6.54275,11.59928,-11.75934,-2.840864
0.8999998,-0.9392501,0.9215,-6.175251,15.07918,-14.89468,-2.772439
0.9166664,-0.9392501,0.9215,-6.175251,15.07918,-14.89468,-2.772439
0.9333331,-2.48,0.4205,-6.1885,11.60905,-10.92969,-4.439079
0.9499997,-2.48,0.4205,-6.1885,11.60905,-10.92969,-4.439079
0.9666664,-2.48,0.4205,-6.1885,11.60905,-10.92969,-4.439079
0.9833331,-2.48,0.4205,-6.1885,11.60905,-10.92969,-4.439079
0.9999997,-2.48,0.4205,-6.1885,11.60905,-10.92969,-4.439079
1.016666,-2.48,0.4205,-6.1885,11.60905,-10.92969,-4.439079
1.033333,-3.68775,1.125,-6.46225,3.914894,-1.070364,-7.370362
1.05,-1.6645,5.168,-4.4445,-0.9775016,16.40248,-9.4781
1.066666,-0.1925,4.74925,-1.689,8.174356,5.603528,1.8096
1.083333,-0.57075,1.65225,0.193,2.22015,3.106011,1.596993
1.1,-0.42175,1.438,0.0035,1.831594,1.992881,1.738731
1.116666,-0.26875,1.0335,-0.13625,1.8096,1.499243,1.461365
1.133333,-0.11425,0.8650001,-0.19975,1.590884,1.562781,1.180333
1.15,-0.11425,0.8650001,-0.19975,1.590884,1.562781,1.180333
1.166666,0.006,0.53275,-0.20225,0.7013574,2.372885,0.6500385
1.183333,0.25575,0.1885,-0.0265,0.03665631,3.007039,0.3641193
